State,COUNTY,City,Date,Total_Cases
New Jersey,GLOUCESTER,CLAYTON BORO,4/19/2020,23
New Jersey,GLOUCESTER,DEPTFORD TWP,4/19/2020,103
New Jersey,GLOUCESTER,E. GREENWICH TWP,4/19/2020,30
New Jersey,GLOUCESTER,ELK TWP,4/19/2020,13
New Jersey,GLOUCESTER,FRANKLIN TWP,4/19/2020,28
New Jersey,GLOUCESTER,GLASSBORO BORO,4/19/2020,42
New Jersey,GLOUCESTER,GREENWICH TWP,4/19/2020,9
New Jersey,GLOUCESTER,HARRISON TWP,4/19/2020,24
New Jersey,GLOUCESTER,LOGAN TWP,4/19/2020,16
New Jersey,GLOUCESTER,MANTUA TWP,4/19/2020,37
New Jersey,GLOUCESTER,MONROE TWP,4/19/2020,99
New Jersey,GLOUCESTER,NATIONAL PARK BORO,4/19/2020,5
New Jersey,GLOUCESTER,NEWFIELD BORO,4/19/2020,0
New Jersey,GLOUCESTER,PAULSBORO BORO,4/19/2020,16
New Jersey,GLOUCESTER,PITMAN BORO,4/19/2020,18
New Jersey,GLOUCESTER,S. HARRISON TWP,4/19/2020,12
New Jersey,GLOUCESTER,SWEDESBORO BORO,4/19/2020,11
New Jersey,GLOUCESTER,WASHINGTON TWP,4/19/2020,131
New Jersey,GLOUCESTER,WENONAH BORO,4/19/2020,6
New Jersey,GLOUCESTER,W. DEPTFORD TWP,4/19/2020,57
New Jersey,GLOUCESTER,WESTVILLE BORO,4/19/2020,11
New Jersey,GLOUCESTER,WOODBURY CITY,4/19/2020,23
New Jersey,GLOUCESTER,WOODBURY HEIGHTS BORO,4/19/2020,9
New Jersey,GLOUCESTER,WOOLWICH TWP,4/19/2020,44
New Jersey,GLOUCESTER,CLAYTON BORO,4/21/2020,26
New Jersey,GLOUCESTER,DEPTFORD TWP,4/21/2020,110
New Jersey,GLOUCESTER,E. GREENWICH TWP,4/21/2020,30
New Jersey,GLOUCESTER,ELK TWP,4/21/2020,13
New Jersey,GLOUCESTER,FRANKLIN TWP,4/21/2020,29
New Jersey,GLOUCESTER,GLASSBORO BORO,4/21/2020,43
New Jersey,GLOUCESTER,GREENWICH TWP,4/21/2020,10
New Jersey,GLOUCESTER,HARRISON TWP,4/21/2020,25
New Jersey,GLOUCESTER,LOGAN TWP,4/21/2020,17
New Jersey,GLOUCESTER,MANTUA TWP,4/21/2020,39
New Jersey,GLOUCESTER,MONROE TWP,4/21/2020,101
New Jersey,GLOUCESTER,NATIONAL PARK BORO,4/21/2020,5
New Jersey,GLOUCESTER,NEWFIELD BORO,4/21/2020,0
New Jersey,GLOUCESTER,PAULSBORO BORO,4/21/2020,16
New Jersey,GLOUCESTER,PITMAN BORO,4/21/2020,20
New Jersey,GLOUCESTER,S. HARRISON TWP,4/21/2020,13
New Jersey,GLOUCESTER,SWEDESBORO BORO,4/21/2020,12
New Jersey,GLOUCESTER,WASHINGTON TWP,4/21/2020,135
New Jersey,GLOUCESTER,WENONAH BORO,4/21/2020,7
New Jersey,GLOUCESTER,W. DEPTFORD TWP,4/21/2020,60
New Jersey,GLOUCESTER,WESTVILLE BORO,4/21/2020,12
New Jersey,GLOUCESTER,WOODBURY CITY,4/21/2020,25
New Jersey,GLOUCESTER,WOODBURY HEIGHTS BORO,4/21/2020,9
New Jersey,GLOUCESTER,WOOLWICH TWP,4/21/2020,46
New Jersey,GLOUCESTER,CLAYTON BORO,4/22/2020,26
New Jersey,GLOUCESTER,DEPTFORD TWP,4/22/2020,122
New Jersey,GLOUCESTER,E. GREENWICH TWP,4/22/2020,33
New Jersey,GLOUCESTER,ELK TWP,4/22/2020,13
New Jersey,GLOUCESTER,FRANKLIN TWP,4/22/2020,35
New Jersey,GLOUCESTER,GLASSBORO BORO,4/22/2020,44
New Jersey,GLOUCESTER,GREENWICH TWP,4/22/2020,10
New Jersey,GLOUCESTER,HARRISON TWP,4/22/2020,27
New Jersey,GLOUCESTER,LOGAN TWP,4/22/2020,19
New Jersey,GLOUCESTER,MANTUA TWP,4/22/2020,41
New Jersey,GLOUCESTER,MONROE TWP,4/22/2020,106
New Jersey,GLOUCESTER,NATIONAL PARK BORO,4/22/2020,5
New Jersey,GLOUCESTER,NEWFIELD BORO,4/22/2020,0
New Jersey,GLOUCESTER,PAULSBORO BORO,4/22/2020,17
New Jersey,GLOUCESTER,PITMAN BORO,4/22/2020,20
New Jersey,GLOUCESTER,S. HARRISON TWP,4/22/2020,13
New Jersey,GLOUCESTER,SWEDESBORO BORO,4/22/2020,12
New Jersey,GLOUCESTER,WASHINGTON TWP,4/22/2020,142
New Jersey,GLOUCESTER,WENONAH BORO,4/22/2020,7
New Jersey,GLOUCESTER,W. DEPTFORD TWP,4/22/2020,62
New Jersey,GLOUCESTER,WESTVILLE BORO,4/22/2020,14
New Jersey,GLOUCESTER,WOODBURY CITY,4/22/2020,26
New Jersey,GLOUCESTER,WOODBURY HEIGHTS BORO,4/22/2020,9
New Jersey,GLOUCESTER,WOOLWICH TWP,4/22/2020,48
New Jersey,GLOUCESTER,CLAYTON BORO,4/23/2020,29
New Jersey,GLOUCESTER,DEPTFORD TWP,4/23/2020,129
New Jersey,GLOUCESTER,E. GREENWICH TWP,4/23/2020,33
New Jersey,GLOUCESTER,ELK TWP,4/23/2020,13
New Jersey,GLOUCESTER,FRANKLIN TWP,4/23/2020,36
New Jersey,GLOUCESTER,GLASSBORO BORO,4/23/2020,45
New Jersey,GLOUCESTER,GREENWICH TWP,4/23/2020,10
New Jersey,GLOUCESTER,HARRISON TWP,4/23/2020,28
New Jersey,GLOUCESTER,LOGAN TWP,4/23/2020,20
New Jersey,GLOUCESTER,MANTUA TWP,4/23/2020,42
New Jersey,GLOUCESTER,MONROE TWP,4/23/2020,109
New Jersey,GLOUCESTER,NATIONAL PARK BORO,4/23/2020,6
New Jersey,GLOUCESTER,NEWFIELD BORO,4/23/2020,0
New Jersey,GLOUCESTER,PAULSBORO BORO,4/23/2020,18
New Jersey,GLOUCESTER,PITMAN BORO,4/23/2020,21
New Jersey,GLOUCESTER,S. HARRISON TWP,4/23/2020,14
New Jersey,GLOUCESTER,SWEDESBORO BORO,4/23/2020,14
New Jersey,GLOUCESTER,WASHINGTON TWP,4/23/2020,150
New Jersey,GLOUCESTER,WENONAH BORO,4/23/2020,7
New Jersey,GLOUCESTER,W. DEPTFORD TWP,4/23/2020,66
New Jersey,GLOUCESTER,WESTVILLE BORO,4/23/2020,14
New Jersey,GLOUCESTER,WOODBURY CITY,4/23/2020,27
New Jersey,GLOUCESTER,WOODBURY HEIGHTS BORO,4/23/2020,10
New Jersey,GLOUCESTER,WOOLWICH TWP,4/23/2020,49
New Jersey,GLOUCESTER,CLAYTON BORO,4/24/2020,31
New Jersey,GLOUCESTER,DEPTFORD TWP,4/24/2020,134
New Jersey,GLOUCESTER,E. GREENWICH TWP,4/24/2020,33
New Jersey,GLOUCESTER,ELK TWP,4/24/2020,14
New Jersey,GLOUCESTER,FRANKLIN TWP,4/24/2020,38
New Jersey,GLOUCESTER,GLASSBORO BORO,4/24/2020,48
New Jersey,GLOUCESTER,GREENWICH TWP,4/24/2020,10
New Jersey,GLOUCESTER,HARRISON TWP,4/24/2020,28
New Jersey,GLOUCESTER,LOGAN TWP,4/24/2020,21
New Jersey,GLOUCESTER,MANTUA TWP,4/24/2020,44
New Jersey,GLOUCESTER,MONROE TWP,4/24/2020,112
New Jersey,GLOUCESTER,NATIONAL PARK BORO,4/24/2020,6
New Jersey,GLOUCESTER,NEWFIELD BORO,4/24/2020,0
New Jersey,GLOUCESTER,PAULSBORO BORO,4/24/2020,20
New Jersey,GLOUCESTER,PITMAN BORO,4/24/2020,21
New Jersey,GLOUCESTER,S. HARRISON TWP,4/24/2020,15
New Jersey,GLOUCESTER,SWEDESBORO BORO,4/24/2020,15
New Jersey,GLOUCESTER,WASHINGTON TWP,4/24/2020,155
New Jersey,GLOUCESTER,WENONAH BORO,4/24/2020,7
New Jersey,GLOUCESTER,W. DEPTFORD TWP,4/24/2020,66
New Jersey,GLOUCESTER,WESTVILLE BORO,4/24/2020,15
New Jersey,GLOUCESTER,WOODBURY CITY,4/24/2020,27
New Jersey,GLOUCESTER,WOODBURY HEIGHTS BORO,4/24/2020,10
New Jersey,GLOUCESTER,WOOLWICH TWP,4/24/2020,49
New Jersey,GLOUCESTER,CLAYTON BORO,4/25/2020,32
New Jersey,GLOUCESTER,DEPTFORD TWP,4/25/2020,148
New Jersey,GLOUCESTER,E. GREENWICH TWP,4/25/2020,33
New Jersey,GLOUCESTER,ELK TWP,4/25/2020,14
New Jersey,GLOUCESTER,FRANKLIN TWP,4/25/2020,38
New Jersey,GLOUCESTER,GLASSBORO BORO,4/25/2020,53
New Jersey,GLOUCESTER,GREENWICH TWP,4/25/2020,10
New Jersey,GLOUCESTER,HARRISON TWP,4/25/2020,28
New Jersey,GLOUCESTER,LOGAN TWP,4/25/2020,22
New Jersey,GLOUCESTER,MANTUA TWP,4/25/2020,44
New Jersey,GLOUCESTER,MONROE TWP,4/25/2020,114
New Jersey,GLOUCESTER,NATIONAL PARK BORO,4/25/2020,6
New Jersey,GLOUCESTER,NEWFIELD BORO,4/25/2020,0
New Jersey,GLOUCESTER,PAULSBORO BORO,4/25/2020,20
New Jersey,GLOUCESTER,PITMAN BORO,4/25/2020,21
New Jersey,GLOUCESTER,S. HARRISON TWP,4/25/2020,15
New Jersey,GLOUCESTER,SWEDESBORO BORO,4/25/2020,15
New Jersey,GLOUCESTER,WASHINGTON TWP,4/25/2020,159
New Jersey,GLOUCESTER,WENONAH BORO,4/25/2020,7
New Jersey,GLOUCESTER,W. DEPTFORD TWP,4/25/2020,69
New Jersey,GLOUCESTER,WESTVILLE BORO,4/25/2020,15
New Jersey,GLOUCESTER,WOODBURY CITY,4/25/2020,28
New Jersey,GLOUCESTER,WOODBURY HEIGHTS BORO,4/25/2020,10
New Jersey,GLOUCESTER,WOOLWICH TWP,4/25/2020,49
New Jersey,GLOUCESTER,CLAYTON BORO,4/26/2020,35
New Jersey,GLOUCESTER,DEPTFORD TWP,4/26/2020,186
New Jersey,GLOUCESTER,E. GREENWICH TWP,4/26/2020,33
New Jersey,GLOUCESTER,ELK TWP,4/26/2020,17
New Jersey,GLOUCESTER,FRANKLIN TWP,4/26/2020,38
New Jersey,GLOUCESTER,GLASSBORO BORO,4/26/2020,54
New Jersey,GLOUCESTER,GREENWICH TWP,4/26/2020,11
New Jersey,GLOUCESTER,HARRISON TWP,4/26/2020,32
New Jersey,GLOUCESTER,LOGAN TWP,4/26/2020,23
New Jersey,GLOUCESTER,MANTUA TWP,4/26/2020,46
New Jersey,GLOUCESTER,MONROE TWP,4/26/2020,117
New Jersey,GLOUCESTER,NATIONAL PARK BORO,4/26/2020,8
New Jersey,GLOUCESTER,NEWFIELD BORO,4/26/2020,0
New Jersey,GLOUCESTER,PAULSBORO BORO,4/26/2020,22
New Jersey,GLOUCESTER,PITMAN BORO,4/26/2020,23
New Jersey,GLOUCESTER,S. HARRISON TWP,4/26/2020,15
New Jersey,GLOUCESTER,SWEDESBORO BORO,4/26/2020,19
New Jersey,GLOUCESTER,WASHINGTON TWP,4/26/2020,166
New Jersey,GLOUCESTER,WENONAH BORO,4/26/2020,9
New Jersey,GLOUCESTER,W. DEPTFORD TWP,4/26/2020,71
New Jersey,GLOUCESTER,WESTVILLE BORO,4/26/2020,16
New Jersey,GLOUCESTER,WOODBURY CITY,4/26/2020,28
New Jersey,GLOUCESTER,WOODBURY HEIGHTS BORO,4/26/2020,10
New Jersey,GLOUCESTER,WOOLWICH TWP,4/26/2020,50
New Jersey,GLOUCESTER,CLAYTON BORO,4/27/2020,36
New Jersey,GLOUCESTER,DEPTFORD TWP,4/27/2020,248
New Jersey,GLOUCESTER,E. GREENWICH TWP,4/27/2020,33
New Jersey,GLOUCESTER,ELK TWP,4/27/2020,18
New Jersey,GLOUCESTER,FRANKLIN TWP,4/27/2020,41
New Jersey,GLOUCESTER,GLASSBORO BORO,4/27/2020,55
New Jersey,GLOUCESTER,GREENWICH TWP,4/27/2020,12
New Jersey,GLOUCESTER,HARRISON TWP,4/27/2020,34
New Jersey,GLOUCESTER,LOGAN TWP,4/27/2020,23
New Jersey,GLOUCESTER,MANTUA TWP,4/27/2020,47
New Jersey,GLOUCESTER,MONROE TWP,4/27/2020,128
New Jersey,GLOUCESTER,NATIONAL PARK BORO,4/27/2020,8
New Jersey,GLOUCESTER,NEWFIELD BORO,4/27/2020,0
New Jersey,GLOUCESTER,PAULSBORO BORO,4/27/2020,24
New Jersey,GLOUCESTER,PITMAN BORO,4/27/2020,23
New Jersey,GLOUCESTER,S. HARRISON TWP,4/27/2020,16
New Jersey,GLOUCESTER,SWEDESBORO BORO,4/27/2020,19
New Jersey,GLOUCESTER,WASHINGTON TWP,4/27/2020,171
New Jersey,GLOUCESTER,WENONAH BORO,4/27/2020,9
